,duration,rating,production_cost,worldwide_gross,opening_weekend,oscar,golden globe,certificate_G,certificate_PG,certificate_PG-13,certificate_R,certificate_TV-MA
0,181.0,8.4,372835647.7036258,2607799463.561274,332863012.3488246,0,1,0,0,1,0,0
1,136.0,6.6,404199779.81644654,1115243505.3282828,96146178.29451594,1,1,0,0,1,0,0
2,141.0,7.3,365000000.0,1395316979.0,191271109.0,0,1,0,0,1,0,0
3,156.0,8.4,284643045.1682258,1943504526.5953264,244506651.8114624,0,1,0,0,1,0,0
4,121.0,6.1,291486030.58736646,637329550.8473682,91179005.82513651,0,1,0,0,1,0,0
5,148.0,6.8,300000000.0,879500760.0,70403148.0,1,1,0,0,1,0,0
6,135.0,6.9,260922791.404207,373025988.7402327,80099016.87850237,0,1,0,0,1,0,0
7,132.0,6.6,276069321.1899689,296042313.6685216,31595843.817010406,0,1,0,0,1,0,0
8,151.0,6.4,260390276.2132428,863738398.1466429,164360072.01048535,0,1,0,0,1,0,0
9,118.0,8.5,386930705.1479103,2452215982.1503935,285392288.48699987,1,1,1,0,0,0,0
10,101.0,7.7,283048687.5145688,635528392.8806725,53090192.548287414,0,1,0,1,0,0,0
11,139.0,6.3,291555379.90752727,1011245404.3480124,170770671.44450358,0,0,0,0,1,0,0
12,146.0,7.8,247519273.96696088,1140488143.9480615,177361561.4676172,0,1,0,0,1,0,0
13,119.0,6.2,205719480.47207418,613417269.7340094,118630283.65696394,1,1,0,0,1,0,0
14,153.0,7.6,275433022.06144017,1023961997.8880948,85754118.04783694,0,0,0,1,0,0,0
15,201.0,7.8,257222855.12054345,987075663.9675965,75772911.35301952,0,1,0,0,1,0,0
16,144.0,7.4,252501354.0882541,949798547.0618191,55271873.74631152,1,1,0,0,1,0,0
17,136.0,6.6,242905025.48947203,1201606268.3612273,95983148.38418382,0,0,0,0,1,0,0
18,163.0,7.3,220130696.87787312,669204394.3898548,48626877.10398168,1,1,0,0,1,0,0
19,162.0,7.9,261110504.91424528,3206449014.7353544,84861444.03026417,0,1,0,0,1,0,0
20,150.0,6.1,269259147.404006,453888742.77440673,60972220.507532775,1,1,0,0,1,0,0
21,164.0,8.4,240788562.28173244,1132991956.2843952,168434001.96716067,1,1,0,0,1,0,0
22,135.0,6.5,223472623.45031425,772303697.32871,61195794.70149947,1,1,0,0,1,0,0
23,106.0,6.6,255022549.19026443,656064443.7706294,74875598.3982981,1,1,0,0,1,0,0
24,143.0,8.0,235554028.31908607,1586168702.2584324,217168992.43869615,0,1,0,0,1,0,0
25,142.0,7.1,231500569.6084891,687298972.9564273,119988661.02390483,0,1,0,0,1,0,0
26,144.0,6.5,249478580.7296065,462745387.60047096,61022244.63169179,0,0,0,1,0,0,0
27,149.0,6.4,231500569.6084891,267513945.4307195,30054791.92110028,0,1,0,0,1,0,0
28,136.0,6.9,230319494.35643974,793440468.5141232,64913129.03585821,1,1,0,0,1,0,0
29,130.0,5.8,230319494.35643974,328181951.23386866,26732581.738546252,0,1,0,0,1,0,0
30,148.0,5.2,210841562.12486172,585783288.4805317,43412057.08374588,1,0,0,0,1,0,0
31,124.0,6.9,215000000.0,1669979967.0,208806270.0,0,0,0,0,1,0,0
32,104.0,6.8,225084960.39379337,684900541.2107466,57153551.15814937,1,1,0,0,1,0,0
33,149.0,5.9,231363738.53160977,921620594.8379852,120051676.95953864,0,0,0,0,1,0,0
34,165.0,5.6,212101137.4341334,1115100592.666603,101039315.74323542,0,1,0,0,1,0,0
35,104.0,6.6,243725952.39155713,533018149.809988,119252398.50471826,1,1,0,0,1,0,0
38,113.0,6.1,231662220.46915925,415028583.81201655,29136589.151177958,1,1,0,0,1,0,0
39,110.0,7.3,188616983.62396708,333484908.3949278,18403360.932356164,0,0,0,0,1,0,0
40,148.0,8.2,176104557.5022985,1684242512.0011954,229057937.9151307,0,0,0,0,1,0,0
41,120.0,7.3,189762030.11215055,1268079377.931601,191663399.16217694,1,0,0,0,1,0,0
42,194.0,7.9,281431134.5793144,3106980792.4760528,40298308.497805186,1,1,0,0,1,0,0
43,118.0,7.6,189762030.11215055,1179186339.7905004,173336138.6486785,1,1,0,1,0,0,0
44,134.0,7.8,198015419.1735687,1044614102.625481,153542820.3467833,0,0,0,0,1,0,0
45,103.0,7.3,198015419.1735687,1014835087.4867518,133720082.85895813,0,0,0,1,0,0,0
46,89.0,7.7,186417823.8518129,1000206498.7518373,112697091.81716773,1,1,1,0,0,0,0
47,126.0,6.9,164575584.37765938,783564917.6497926,154224601.35247064,0,0,0,0,1,0,0
48,127.0,7.5,246785677.4456365,980599874.8431865,108778471.00623155,0,1,0,0,1,0,0
49,175.0,7.8,164575584.37765938,631822374.4934045,110272738.03223012,0,1,0,0,1,0,0
51,143.0,7.8,209381358.50585428,1162618239.6959252,92509619.30650641,1,1,0,0,1,0,0
52,169.0,7.8,209381358.50585428,1062546056.7602757,88586429.27620749,0,1,0,0,1,0,0
53,102.0,7.2,205778284.09643474,764935304.416625,84810973.4490013,1,1,1,0,0,0,0
54,130.0,6.3,205778284.09643474,504526220.5296807,81396066.36215824,1,1,0,1,0,0,0
55,131.0,7.9,202001083.27060327,755345453.4387971,91732388.53300479,0,1,0,0,1,0,0
56,141.0,6.6,202001083.27060327,716090139.534443,92524916.55309242,1,1,0,0,1,0,0
57,107.0,6.2,213298036.84245205,597400217.6031592,70532869.04340121,1,1,1,0,0,0,0
58,133.0,6.7,176104557.5022985,334379985.82270265,70764369.0642583,1,1,0,0,1,0,0
59,134.0,6.5,186417823.8518129,708743514.6462449,55961652.02673901,0,1,0,0,1,0,0
60,145.0,5.2,176104557.5022985,634925562.1444587,61674602.89192741,0,0,0,0,1,0,0
61,158.0,5.8,220346417.64915213,834757887.5213853,71874372.70439088,0,0,0,0,1,0,0
62,156.0,6.3,176104557.5022985,354027332.0436903,62778826.01569735,1,1,0,0,1,0,0
63,134.0,6.5,189762030.11215055,615261007.828514,58980984.06556373,1,1,0,0,1,0,0
64,110.0,6.1,164575584.37765938,179857534.9808079,41619487.44102732,0,0,0,1,0,0,0
65,90.0,6.6,176104557.5022985,185248032.92309925,30834790.635235112,0,1,0,0,1,0,0
66,113.0,5.5,213298036.84245205,234132447.30420914,56709872.20182853,0,0,0,0,1,0,0
