,duration,rating,production_cost,worldwide_gross,opening_weekend,oscar,golden globe,certificate_G,certificate_PG,certificate_PG-13,certificate_R,ROI
136,156.0,8.0,145286259.93939626,350201987.08457977,36111273.249598846,0,1,0,0,1,0,1.410427436363636
147,113.0,6.3,136481032.06428134,412141570.98208976,105662.7345013791,0,1,0,0,1,0,2.0197717935483865
148,111.0,5.6,147065573.3369167,276037477.52654207,26677253.806596674,0,0,0,0,1,0,0.8769686967741933
150,142.0,7.4,147686255.497599,475697688.3803336,54666192.81142942,0,0,0,0,1,0,2.2210017565789473
153,103.0,6.8,139813367.8888597,1347038678.5340066,121417058.6299482,0,0,0,1,0,0,8.63454853333333
154,141.0,7.4,145743015.29368323,794841812.0955086,100321204.78032193,0,1,0,0,1,0,4.453721473333332
156,108.0,8.0,148511564.3801765,994661088.4667003,74318554.06804338,0,1,0,1,0,0,5.6975329
160,113.0,7.6,148511564.3801765,625349669.6120157,56069453.03700728,0,0,0,1,0,0,3.2107809733333337
162,132.0,7.4,132078418.12672387,380600068.354984,66381457.70459421,1,1,0,0,1,0,1.8816219466666666
167,107.0,7.8,145743015.29368323,503356369.3383038,49079920.36080856,1,0,0,0,1,0,2.4537255066666663
174,104.0,6.5,139813367.8888597,402051205.648654,50673250.5340859,0,1,0,1,0,0,1.8756277866666666
176,140.0,7.4,142321522.5841129,549413881.305985,39630898.61927961,0,0,0,0,1,0,2.86037102
184,109.0,7.2,132078418.12672387,203289068.71903616,23955937.935294695,0,0,0,1,0,0,0.5391543266666668
190,104.0,5.9,148511564.3801765,331167771.0341371,18286347.73138264,0,1,0,0,1,0,1.2299123466666664
193,124.0,5.1,123431688.28324452,48590144.74167554,8120979.742481836,1,1,0,0,1,0,-0.6063397866666667
196,102.0,7.8,146450785.37118736,620735461.5161973,1515008.1245295242,1,1,0,1,0,0,3.2385260000000007
198,91.0,6.8,146450785.37118736,272505955.66687095,32529302.01479033,0,0,0,1,0,0,0.8607340000000001
205,124.0,6.9,149308625.78971642,395209028.6697359,69384277.24533774,0,0,0,0,1,0,1.646926971428571
206,94.0,7.1,138610793.4214981,515999296.8670481,40872404.254854344,1,1,0,1,0,0,2.72264875
208,110.0,5.7,144044798.86750433,386596387.70042336,41671968.93856479,0,0,0,0,1,0,1.6838621785714283
210,150.0,6.0,141400758.28942227,270999111.4161218,24357223.96041186,1,1,0,0,1,0,0.9165322357142857
211,115.0,6.3,138610793.4214981,197665605.13405666,18589044.001902312,1,0,0,1,0,0,0.4260477142857142
212,127.0,5.4,138610793.4214981,137459092.1801924,13983752.864559123,0,0,0,0,1,0,-0.008308885714285608
219,98.0,7.2,138900341.76509345,589625185.831732,44900549.962507054,1,1,0,1,0,0,3.2449512962962963
220,156.0,8.0,135000000.0,532938301.99999994,474560.00000000006,1,1,0,0,0,1,2.9476911259259255
221,107.0,7.2,143976174.86865512,262062873.91948393,40611224.20094816,0,1,0,1,0,0,0.8201822222222223
223,96.0,6.4,138900341.76509345,295185427.66989475,21928377.010453887,0,1,0,1,0,0,1.1251598370370373
224,112.0,5.9,133660407.94215886,242894004.06390014,34965940.92711938,0,1,0,0,1,0,0.8172472148148148
225,99.0,5.8,143976174.86865512,168459020.5218576,22649124.563448295,1,1,0,1,0,0,0.1700478962962962
227,99.0,5.6,126096869.00952405,161320781.6819866,19310650.049996365,1,1,0,1,0,0,0.27934010534236264
229,92.0,6.6,133320714.95859814,370613943.80028456,25702056.272340067,0,0,0,1,0,0,1.7798676590909093
230,146.0,7.5,133755884.6626826,889855313.4074734,162641276.6642454,1,1,0,0,1,0,5.65283113076923
232,113.0,8.0,146907749.56580833,501795507.8147619,78294699.84242381,0,1,0,0,1,0,2.4157184307692305
233,118.0,7.0,123345319.57289787,591245978.675729,71931389.64039266,0,0,0,0,1,0,3.793420461538461
234,91.0,7.6,144143179.97710598,700658410.7643201,66792767.36349449,1,1,0,1,0,0,3.860850238461539
235,117.0,7.3,130000000.0,518858449.0,57225526.0,1,1,0,0,1,0,2.9912188384615384
236,94.0,6.5,130000000.0,385997896.0,52107731.0,0,1,0,1,0,0,1.9692145846153846
237,130.0,6.7,123345319.57289787,331040840.702722,22318975.977668803,0,1,0,1,0,0,1.6838540923076923
238,90.0,6.6,138643723.9475938,591888696.5812274,36343254.196592055,1,1,0,1,0,0,3.2691344384615384
240,101.0,6.3,131300704.12589212,497777423.33949476,39721360.70362188,1,1,1,0,0,0,2.791125315384615
241,100.0,6.4,141524343.7572844,316416310.96985024,39203596.41122386,1,1,0,0,1,0,1.235773030769231
242,137.0,5.8,131300704.12589212,356361286.70760316,44157913.525510386,1,1,0,0,1,0,1.7140851153846155
243,104.0,7.3,138643723.9475938,398860877.6962609,10367343.61529609,0,0,0,1,0,0,1.876876546153846
244,165.0,6.6,144143179.97710598,238480245.42655182,16410948.301386863,1,1,0,0,1,0,0.6544677692307693
245,98.0,5.6,133755884.6626826,81361315.55443145,13058088.007278766,1,1,0,0,1,0,-0.3917178615384616
246,104.0,7.4,120239496.38441932,485818395.00899464,51285635.88170647,1,1,0,1,0,0,3.0404227364341088
248,135.0,8.1,123395752.94865179,596771315.9230709,85902794.83821225,0,1,0,0,0,1,3.8362387007874017
249,97.0,6.2,128270687.87683307,357296103.28074116,17271617.82245308,1,1,0,1,0,0,1.7854852047244092
250,123.0,6.6,126250677.04412705,774245034.3515229,123117270.58061759,1,1,0,0,1,0,5.132601048
251,123.0,6.7,116511139.90738305,744117409.6365348,55227718.52961059,0,0,0,0,1,0,5.3866632
252,152.0,6.6,145074971.66164115,891132250.6452265,89451356.63973337,1,1,0,0,1,0,5.1425636720000005
253,130.0,7.3,133311273.02653252,672063138.1402941,91930136.76371932,0,0,0,0,1,0,4.041307632
255,129.0,7.4,133311273.02653252,571279804.0008435,42272555.6843459,0,1,0,0,1,0,3.285307544
257,97.0,6.3,121452512.74473602,512982316.5666118,48774262.279414035,0,1,0,1,0,0,3.2237274879999998
259,93.0,6.4,123759636.98348044,339836649.45713013,46118921.79356763,0,0,0,1,0,0,1.745940904
260,124.0,7.0,130863349.06615895,421325822.2701202,53444697.49620536,1,1,0,0,0,1,2.2195861199999993
261,135.0,6.6,130863349.06615895,293506516.973793,39931982.57875531,1,1,0,0,1,0,1.2428473599999996
262,103.0,5.8,118601268.82009408,289262764.78771025,23630131.031867806,0,0,0,0,1,0,1.4389516880000002
263,100.0,6.7,115010355.86827262,98780955.64568673,22810347.990339268,0,0,0,1,0,0,-0.14111251199999997
265,104.0,5.7,123759636.98348044,61031122.42500811,10842042.204105472,0,0,0,1,0,0,-0.506857616
269,123.0,6.6,118809251.50414121,412038717.697491,58627776.60995434,1,1,0,0,1,0,2.4680693000000002
270,116.0,6.3,98745350.62659562,330590234.1226754,36214984.88838184,0,0,0,0,1,0,2.3479068333333335
271,91.0,5.6,135607153.4453615,327130437.3658857,65601863.49958031,0,1,0,1,0,0,1.412339091666667
272,125.0,7.9,125628815.10351259,648360230.9430027,23504642.509166036,0,0,0,1,0,0,4.1609197333333325
273,110.0,5.3,135607153.4453615,259400199.2519074,51292090.40131957,1,1,0,0,1,0,0.9128799083333337
274,107.0,6.2,132207850.5894913,471483181.0443717,39390329.81213489,0,0,0,0,0,1,2.566226808333333
276,109.0,6.6,123466970.45786086,294460587.0397535,30668570.924640402,1,1,0,0,0,1,1.3849340916666661
277,125.0,7.0,123466970.45786086,296234953.5078147,38125041.7068854,1,1,0,0,1,0,1.399305275
278,124.0,5.9,116594412.23494658,138486521.08645603,39156569.935492255,0,0,0,0,1,0,0.18776293333333327
281,119.0,6.6,148071406.4673819,132292856.93172671,29971090.195569217,1,1,0,0,0,1,-0.10656040833333331
282,135.0,6.1,133055243.05579016,103555190.34562297,20580693.383128587,0,0,0,1,0,0,-0.22171281666666673
283,136.0,7.8,139271972.7951755,189199713.47029236,14401963.828778569,0,0,0,0,1,0,0.35849094166666684
284,109.0,6.3,127371909.38155597,281689367.96575606,21925370.46466578,0,1,0,0,1,0,1.2115501709401708
285,112.0,6.6,110061977.46504731,812258392.7891377,76147475.93372704,0,1,0,0,1,0,6.380009077586206
287,126.0,6.7,118322513.35544999,428488882.02381444,54648283.742417894,0,1,0,0,1,0,2.6213639304347827
288,134.0,6.1,148586737.95365304,100300266.69001509,18761223.068026777,1,1,0,0,0,1,-0.32497160869565217
289,87.0,4.9,121928665.39089118,252585951.37059513,6866860.22614407,0,1,0,1,0,0,1.071587928571429
290,107.0,6.7,107849831.31732559,280322982.30100125,13021250.355717406,0,0,0,1,0,0,1.599197225225225
291,119.0,7.6,104369116.5616828,746108598.6750103,119082460.73438144,0,0,0,0,0,1,6.148748818181818
292,91.0,7.7,113178056.25303912,708097779.463122,57396823.12743715,1,1,0,0,1,0,5.256493554545453
293,108.0,6.5,127665975.0622442,672505368.5997182,35321439.32905274,0,1,0,1,0,0,4.267694609090909
294,114.0,6.1,110000000.0,456258538.99999994,54588173.0,0,0,0,0,1,0,3.1478048999999992
295,103.0,5.4,117313920.26334861,601233119.335807,37979461.30423014,0,0,0,1,0,0,4.124993845454546
296,129.0,7.1,124306557.32491472,432008395.0880993,37709590.89764204,0,1,0,0,1,0,2.4753467909090903
297,118.0,6.2,110000000.0,295075882.0,52263680.0,1,1,0,0,1,0,1.6825080181818182
298,125.0,6.5,135732122.59510005,447902525.13012815,48312467.03793217,1,1,0,0,1,0,2.2999006909090913
300,164.0,7.2,147593476.1611861,288880685.613667,30073794.296079442,1,1,0,0,0,1,0.9572727272727275
301,102.0,6.2,111100595.79883178,334089643.13152695,45489088.54419867,0,0,0,0,0,1,2.007091372727273
302,170.0,7.5,135732122.59510005,257114758.71085775,1058736.4687379124,1,1,0,0,1,0,0.8942808363636364
303,116.0,7.0,108908480.54546279,299240576.7098096,14722185.035201523,1,1,0,0,1,0,1.747633381818182
304,118.0,5.8,117313920.26334861,244392094.60772312,35756084.161301605,1,1,0,0,1,0,1.0832318454545455
305,126.0,7.1,117313920.26334861,281425793.483084,29136167.356349446,0,1,0,0,1,0,1.3989121909090911
306,118.0,5.6,102529803.1184971,235837621.44427985,27996077.787627943,0,0,0,0,1,0,1.3001860363636364
307,118.0,6.7,119751367.79462528,192953387.7888279,27945021.33447802,0,0,0,0,1,0,0.6112833727272724
308,104.0,5.3,113178056.25303912,358617556.0450131,18055386.88538375,0,0,0,1,0,0,2.168613845454545
309,106.0,6.4,121190529.70703368,167864715.53434974,25750896.475241166,1,1,0,0,0,1,0.38513063636363637
310,114.0,6.6,113178056.25303912,131680901.84384203,27797920.64805548,0,0,0,0,1,0,0.16348439090909073
311,76.0,5.4,135732122.59510005,94373879.75297236,17127877.373513725,1,1,0,1,0,0,-0.30470489999999983
312,148.0,7.2,131605214.60432953,261625110.40071324,23492722.432270512,0,0,0,0,0,1,0.987953981818182
315,158.0,6.7,143029334.52328843,115058525.7370885,19303569.660586856,1,1,0,0,0,1,-0.19555994495412857
316,130.0,8.0,108000000.0,653609107.0,54308575.0,1,1,0,0,1,0,5.051936175925926
317,124.0,7.1,104948172.1619914,118083189.35673457,12575704.82189971,1,1,0,0,0,1,0.12515717924528294
318,115.0,7.1,129562480.65895915,430183941.5590805,64386243.81165881,1,0,0,0,1,0,2.3202817619047615
319,92.0,6.0,144076491.41129985,410021419.56382513,20607360.734023675,1,1,0,1,0,0,1.845859276190476
320,97.0,7.1,115681869.26580489,298566507.1730658,866170.7504579346,1,0,1,0,0,0,1.5809274095238093
321,100.0,5.6,103958095.06612356,398166119.79840785,21160981.134917554,1,0,0,1,0,0,2.8300636380952384
322,129.0,7.3,147751345.65414008,170406551.9877749,31040127.564087737,0,0,0,0,0,1,0.1533333333333334
323,141.0,6.7,101048490.60362037,397201888.7882815,37915540.954903685,1,1,0,0,0,1,2.9308047692307695
324,117.0,6.5,138603691.70409566,312150820.50286025,33994867.240969695,1,1,0,0,1,0,1.2521104356243953
325,154.0,8.5,138201164.0418379,612426500.6963179,46718725.050413035,1,1,0,0,0,1,3.4314134757281556
326,140.0,7.0,112927539.04519048,233878672.28503716,27842615.271218184,1,1,0,0,0,1,1.071050819512195
327,144.0,8.0,118381176.87589917,689884045.6906376,47390951.596442975,1,1,0,0,1,0,4.827649833333333
328,114.0,6.7,96778635.35719678,441382296.83928806,20545579.594319616,0,0,0,0,1,0,3.5607410686274514
329,172.0,7.4,106784492.8379857,136802612.52382353,10063126.675769111,1,1,0,0,0,1,0.28110935294117634
330,161.0,7.4,129205859.09013309,1130890500.8978815,114163051.44086124,0,1,0,1,0,0,7.75262553
331,122.0,5.4,145762996.64132625,490534964.865804,76940171.30093311,1,1,0,0,1,0,2.3652914400000005
333,130.0,6.9,123392838.72281826,408829360.95224184,43363394.98029931,1,1,0,1,0,0,2.3132340999999994
334,165.0,8.4,104690679.25292714,470942191.00740457,31535856.05779848,1,1,0,0,0,1,3.4984156600000005
